"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_003[data4]","","2026-05-15","passed","2026-05-15","Test_param","案例7_pytest","",""
"现在是SIT测试阶段","0","test_001","","2026-05-15","passed","2026-05-15","Test_sit","案例7_pytest","",""
"","0","test_003[data1]","","2026-05-15","passed","2026-05-15","Test_param","案例7_pytest","",""
"","1","test_003[data2]","","2026-05-15","passed","2026-05-15","Test_param","案例7_pytest","",""
"现在是SIT测试阶段","0","test_002","","2026-05-15","passed","2026-05-15","Test_sit","案例7_pytest","",""
"现在是UAT测试阶段","0","test_002","","2026-05-15","passed","2026-05-15","Test_uat","案例7_pytest","",""
"","0","test_003[data3]","","2026-05-15","passed","2026-05-15","Test_param","案例7_pytest","",""
"现在是UAT测试阶段","0","test_001","","2026-05-15","passed","2026-05-15","Test_uat","案例7_pytest","",""
"","0","test_003[data0]","","2026-05-15","passed","2026-05-15","Test_param","案例7_pytest","",""
"","9698","test_004","","2026-05-15","passed","2026-05-15","Test_seafile","案例7_pytest","",""
